Company,Series  ,Date  ,Prev Close  ,Open,High,Low,Last Price  ,Close,Average Price ,Volume,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
INFY,EQ,17-10-2024,1920.1,1935.2,1978,1930.15,1974.55,1968.1,1957.7,8162822,15980388201,295717,4019395,49.24
INFY,EQ,18-10-2024,1968.1,1893.8,1936.85,1869.25,1885,1879.6,1891.59,10526196,19911246940,335832,4916524,46.71
INFY,EQ,21-10-2024,1879.6,1891.1,1898.8,1838,1850.1,1852.75,1856.08,4654601,8639326331,185546,2343503,50.35
INFY,EQ,22-10-2024,1852.75,1858.2,1877.8,1846.95,1853.55,1851.6,1858.27,4125240,7665799770,189972,2494370,60.47
INFY,EQ,23-10-2024,1851.6,1845.25,1886,1844,1868.3,1873.4,1872.18,4311910,8072663538,177546,2416683,56.05
INFY,EQ,24-10-2024,1873.4,1861.4,1884,1860,1863.6,1863.35,1866.54,2906475,5425065457,137718,1892942,65.13
INFY,EQ,25-10-2024,1863.35,1863.45,1876.35,1846.4,1866,1862.05,1861.41,4689120,8728392271,181283,2597591,55.4
INFY,EQ,28-10-2024,1862.05,1859.7,1881.9,1857,1865,1865.35,1872.16,7018940,13140601456,157551,5571125,79.37
INFY,EQ,29-10-2024,1865.35,1846,1851.6,1829,1839.95,1839.3,1840.82,4621252,8506871720,157581,3187422,68.97
INFY,EQ,30-10-2024,1839.3,1832,1839,1796.35,1798.8,1802.1,1813.08,5919715,10732932366,221376,4229513,71.45
INFY,EQ,31-10-2024,1802.1,1787.9,1787.9,1746.5,1762.95,1757.25,1759.11,7395236,13009050347,283103,4822516,65.21
INFY,EQ,01-11-2024,1757.25,1764.5,1766,1752.05,1755.6,1760.85,1761.68,371966,655284656.9,29613,177843,47.81
INFY,EQ,04-11-2024,1760.85,1724.5,1767,1718,1763.05,1763.65,1742.2,7336722,12782053575,237541,4546264,61.97
INFY,EQ,05-11-2024,1763.65,1760,1768.45,1745,1753,1754.2,1754.19,3160880,5544781198,168160,1886454,59.68
INFY,EQ,06-11-2024,1754.2,1764,1827.2,1762.65,1821,1823.7,1809.14,10421494,18853955667,305870,6633255,63.65
INFY,EQ,07-11-2024,1823.7,1812.95,1825.7,1787,1802.85,1803.05,1802.49,4550965,8203053864,274916,2945745,64.73
INFY,EQ,08-11-2024,1803.05,1818,1840.6,1813.15,1825.95,1829.95,1832.23,4210960,7715446614,199379,2076350,49.31
INFY,EQ,11-11-2024,1829.95,1829,1868,1822.55,1859.05,1860.1,1855.73,3804234,7059643882,240025,2440014,64.14
INFY,EQ,12-11-2024,1860.1,1871.1,1881,1861,1861,1868.8,1871.65,5012450,9381550005,182346,3341498,66.66
INFY,EQ,13-11-2024,1868.8,1861.1,1873.2,1856.3,1869,1868.4,1866.77,4257495,7947752334,187205,3107684,72.99
INFY,EQ,14-11-2024,1868.4,1865.6,1876,1856,1865,1864.55,1865.97,4311431,8045009314,206703,2841321,65.9
INFY,EQ,18-11-2024,1864.55,1849.2,1849.2,1795,1815.05,1811.45,1813.82,4839244,8777530199,207559,2993164,61.85
INFY,EQ,19-11-2024,1811.45,1825.5,1859.7,1820.55,1822.5,1824.75,1839.98,4669769,8592282284,142990,3229861,69.17
INFY,EQ,21-11-2024,1824.75,1842,1867,1820.6,1834,1834.05,1836.76,5436504,9985580027,232740,2600161,47.83
INFY,EQ,22-11-2024,1834.05,1854.1,1914.05,1834,1889.2,1902.25,1880.71,6301486,11851297771,185473,3723656,59.09
INFY,EQ,25-11-2024,1902.25,1916,1919.3,1882,1891,1889.7,1890.66,12764638,24133584392,196770,9070318,71.06
INFY,EQ,26-11-2024,1889.7,1904.95,1938.6,1897.3,1920.2,1924.15,1926.35,6850495,13196471062,312960,4264818,62.26
INFY,EQ,27-11-2024,1924.15,1930.1,1941.4,1911.75,1927,1924.5,1926.81,4447143,8568781534,146524,2756729,61.99
INFY,EQ,28-11-2024,1924.5,1914.9,1914.9,1851.65,1860.3,1856.65,1869.78,8468790,15834748613,284687,5657358,66.8
INFY,EQ,29-11-2024,1856.65,1851.1,1877,1845,1856.95,1857.85,1859.93,5244346,9754122115,217020,2906341,55.42
INFY,EQ,02-12-2024,1857.85,1859,1882.8,1835.2,1877.45,1879.8,1868.92,2868263,5360564447,143774,1534907,53.51
INFY,EQ,03-12-2024,1879.8,1887,1899.75,1871.15,1890,1892.1,1891.36,4715792,8919259126,165988,3206192,67.99
INFY,EQ,04-12-2024,1892.1,1884,1913.95,1875,1892,1889.25,1895.14,4705573,8917717925,215259,2551444,54.22
INFY,EQ,05-12-2024,1889.25,1900,1949.9,1888.95,1935,1934.85,1925.05,9050038,17421767118,300510,4450530,49.18
INFY,EQ,06-12-2024,1934.85,1932.8,1937.95,1912.4,1919,1922.4,1921.54,3573331,6866314026,133773,2167743,60.66
INFY,EQ,09-12-2024,1922.4,1924.2,1930.2,1897.2,1926.95,1923.65,1912.43,4274645,8174959450,169220,2796004,65.41
INFY,EQ,10-12-2024,1923.65,1939,1965.6,1932,1947.1,1948.55,1947.08,6174921,12023085384,219707,3769961,61.05
INFY,EQ,11-12-2024,1948.55,1955,1978,1952,1967.3,1974.15,1968.23,5025612,9891578980,201273,2925094,58.2
INFY,EQ,12-12-2024,1974.15,1975.2,1998.8,1970.55,1985.1,1987,1989.23,6462130,12854635036,286504,3297440,51.03
INFY,EQ,13-12-2024,1987,1969.75,2006.45,1953.8,1999,1999.7,1985.4,5362693,10647066759,243211,2730177,50.91
INFY,EQ,16-12-2024,1999.7,1995.45,1999.6,1977.6,1979.2,1980.05,1985.38,3119221,6192834341,158954,1847676,59.24
INFY,EQ,17-12-2024,1980.05,1968,1982,1958,1974,1976.6,1971.86,5811050,11458571096,243202,3152209,54.25
INFY,EQ,18-12-2024,1976.6,1966.8,1984.95,1961.6,1979,1979.15,1976.08,3064095,6054911475,138618,1896034,61.88
