Company,Series  ,Date  ,Prev Close  ,Open,High,Low,Last Price  ,Close,Average Price ,Volume,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,19-07-2024,3173.35,3172,3179.95,3105.6,3116.95,3110.3,3128.4,6570195,20554178349,213186,"40,48,947",61.63
RELIANCE,EQ,22-07-2024,3110.3,3074.5,3075,2998.55,3004,3001.35,3016.24,9837188,29671339998,465224,"59,72,016",60.71
RELIANCE,EQ,23-07-2024,3001.35,3002,3011.5,2926,2970.05,2975.8,2969.6,9026022,26803649946,384359,"51,11,782",56.63
RELIANCE,EQ,24-07-2024,2975.8,2970,3019,2952.8,2988,2991.4,2987.68,5956681,17796651408,232120,"27,33,402",45.89
RELIANCE,EQ,25-07-2024,2991.4,2962,3000.95,2954.15,2988.35,2984.8,2980.72,6259938,18659122151,221753,"37,29,490",59.58
RELIANCE,EQ,26-07-2024,2984.8,2984.8,3024.85,2980.7,3018.6,3018.05,3012.08,4929970,14849480971,180757,"23,96,373",48.61
RELIANCE,EQ,29-07-2024,3018.05,3023.9,3055,3023.55,3038.25,3040.2,3038.43,3769275,11452661155,170155,"22,06,938",58.55
RELIANCE,EQ,30-07-2024,3040.2,3034.05,3050,3020,3023,3026.3,3033.38,4114104,12479637390,184296,"24,14,027",58.68
RELIANCE,EQ,31-07-2024,3026.3,3008,3020.9,3002.3,3009,3010.85,3010.83,5028673,15140471170,201961,"32,24,303",64.12
RELIANCE,EQ,01-08-2024,3010.85,3024,3036,3008.6,3035.9,3030.6,3025.5,5382111,16283566572,219081,"36,47,873",67.78
RELIANCE,EQ,02-08-2024,3030.6,3010,3018.65,2986.55,2992,2998.65,3001.82,5134124,15411692078,176635,"31,86,337",62.06
RELIANCE,EQ,05-08-2024,2998.65,2960,2967.8,2866.5,2896,2894.65,2901.81,8523352,24733128212,448630,"55,50,149",65.12
RELIANCE,EQ,06-08-2024,2894.65,2910.3,2955,2902.65,2915.55,2912.1,2929.53,5118093,14993589440,197549,"26,51,919",51.81
RELIANCE,EQ,07-08-2024,2912.1,2938,2945,2923,2930,2929.65,2930.89,4087284,11979363871,276362,"25,97,947",63.56
RELIANCE,EQ,08-08-2024,2929.65,2915.05,2930,2891.85,2896.45,2898.25,2905.69,6193596,17996662106,255138,"37,34,582",60.30
RELIANCE,EQ,09-08-2024,2898.25,2920,2953,2912,2946.1,2948.6,2939.2,3124888,9184680574,150169,"14,06,089",45.00
RELIANCE,EQ,12-08-2024,2948.6,2940,2946,2915.5,2923,2921.25,2929.82,4092292,11989680026,188301,"26,40,196",64.52
RELIANCE,EQ,13-08-2024,2921.25,2921.5,2940.15,2916,2925,2927.25,2928.29,3132532,9172971803,134517,"17,57,602",56.11
RELIANCE,EQ,14-08-2024,2927.25,2927.1,2944,2907.4,2920.1,2923.7,2925.78,3133733,9168616381,185733,"17,48,077",55.78
RELIANCE,EQ,16-08-2024,2923.7,2937.3,2960.8,2916.1,2957.75,2956.4,2944.77,4708451,13865325210,187365,"21,41,288",45.48
RELIANCE,EQ,19-08-2024,2956.4,2965,2996.6,2961,2979,2976.8,2980.25,6898871,20560327725,200328,"46,27,354",67.07
RELIANCE,EQ,20-08-2024,2976.8,2994.45,3007.85,2980.05,2986.5,2991.9,2996.98,4205904,12605024714,175516,"27,65,914",65.76
RELIANCE,EQ,21-08-2024,2991.9,2986.5,3015.75,2980,2999,2997.35,3001.42,3884998,11660526039,141353,"25,16,019",64.76
RELIANCE,EQ,22-08-2024,2997.35,3006,3013,2981.3,2996.5,2996.25,2994.88,5222891,15641935953,233216,"32,22,286",61.70
RELIANCE,EQ,23-08-2024,2996.25,3007.5,3022.65,2996.85,2996.85,2999.95,3007.21,4624827,13907842193,168002,"24,66,304",53.33
RELIANCE,EQ,26-08-2024,2999.95,3013.95,3046,3006,3021.2,3025.2,3028.8,4408057,13351114538,237540,"27,04,777",61.36
RELIANCE,EQ,27-08-2024,3025.2,3021,3026.95,2998.9,3001,3000.9,3008.12,3125578,9402108149,101024,"20,14,932",64.47
RELIANCE,EQ,28-08-2024,3000.9,3010,3014.95,2986,2999,2996.6,2999.57,4805143,14413356126,200883,"34,80,824",72.44
RELIANCE,EQ,29-08-2024,2996.6,3006.2,3074,2988,3042.9,3041.85,3038.57,19167679,58242337591,570843,"79,84,285",41.65
RELIANCE,EQ,30-08-2024,3041.85,3068,3079.45,3006.65,3024.95,3019.25,3026.71,20810365,62987009676,599570,"1,19,10,770",57.23
RELIANCE,EQ,02-09-2024,3019.25,3021.75,3053.6,3013.25,3034.4,3032.5,3034.1,5620426,17052933371,280541,"34,03,958",60.56
RELIANCE,EQ,03-09-2024,3032.5,3042.5,3046,3015,3018.9,3018.25,3026.09,5461900,16528193207,226578,"39,88,825",73.03
RELIANCE,EQ,04-09-2024,3018.25,3001.4,3035,2999,3031.95,3029.1,3023.3,5991652,18114582556,252191,"42,96,024",71.70
RELIANCE,EQ,05-09-2024,3029.1,3038.1,3051.55,2974.1,2991,2985.95,3007.1,8132084,24453950050,343225,"48,97,259",60.22
RELIANCE,EQ,06-09-2024,2985.95,2985,2994,2923.25,2930.95,2929.65,2938.97,9697114,28499495837,447718,"54,84,238",56.56
RELIANCE,EQ,09-09-2024,2929.65,2933,2939.85,2911.2,2927,2924.9,2923.84,4505149,13172342173,179506,"28,68,460",63.67
RELIANCE,EQ,10-09-2024,2924.9,2921,2944.1,2915.15,2924,2923.05,2928.75,5384130,15768777163,186858,"33,07,014",61.42
RELIANCE,EQ,11-09-2024,2923.05,2926.1,2937.5,2895.1,2904.45,2903,2917.1,4880101,14235732813,254431,"29,98,632",61.45
RELIANCE,EQ,12-09-2024,2903,2914,2972,2891.75,2953,2959.6,2930.24,11174688,32744474467,365694,"56,88,113",50.90
RELIANCE,EQ,13-09-2024,2959.6,2952.8,2966.3,2939,2946.5,2945.25,2951.65,4355664,12856398758,133244,"22,93,496",52.66
RELIANCE,EQ,16-09-2024,2945.25,2955.1,2961.8,2929.5,2944.35,2942.7,2944.45,2740887,8070408900,127429,"16,50,005",60.20
RELIANCE,EQ,17-09-2024,2942.7,2948,2954.95,2933.25,2945,2944.6,2943.09,2967664,8734102750,148458,"19,62,511",66.13
RELIANCE,EQ,18-09-2024,2944.6,2940,2964,2921.1,2923,2926.9,2939.96,4287357,12604650689,179852,"27,16,778",63.37
RELIANCE,EQ,19-09-2024,2926.9,2932.5,2953,2911.1,2940,2939.35,2934.14,8477951,24875502062,259931,"51,62,238",60.89
RELIANCE,EQ,20-09-2024,2939.35,2948,2990,2942.75,2972.1,2971.85,2970.54,15448660,45890894256,379677,"85,64,168",55.44
RELIANCE,EQ,23-09-2024,2971.85,2982,3003,2977.9,2985,2986.75,2990.93,4416157,13208420985,146805,"27,66,969",62.66
RELIANCE,EQ,24-09-2024,2986.75,2977,3001,2975.75,2980.5,2978.75,2986.14,8568722,25587444695,201586,"69,26,041",80.83
RELIANCE,EQ,25-09-2024,2978.75,2967.8,2993,2960.4,2988.05,2987.9,2976.46,3534501,10520289097,154120,"21,70,405",61.41
RELIANCE,EQ,26-09-2024,2987.9,2981.3,3008,2976.1,3008,2995.9,2994.82,9409499,28179760605,259792,"63,88,610",67.90
RELIANCE,EQ,27-09-2024,2995.9,2998,3066.95,2984,3047.05,3052.35,3024.87,10298739,31152328126,328612,"71,92,739",69.84
RELIANCE,EQ,30-09-2024,3052.35,3038.8,3049.95,2948.8,2958,2953.15,2977.44,13504407,40208625079,431656,"97,72,452",72.36
RELIANCE,EQ,01-10-2024,2953.15,2961.3,2975.9,2925.65,2927,2929.65,2938.6,8215821,24142992537,330546,"58,33,186",71.00
RELIANCE,EQ,03-10-2024,2929.65,2873.15,2898.8,2804.15,2813.95,2813.95,2846.93,18878647,53746234226,689559,"1,33,01,627",70.46
RELIANCE,EQ,04-10-2024,2813.95,2807.85,2834.7,2763.55,2771.5,2773.05,2796.15,18536438,51830708671,534690,"1,09,30,510",58.97
RELIANCE,EQ,07-10-2024,2773.05,2787,2793,2722.75,2740.7,2741.45,2750.92,11090670,30509518408,423167,"78,80,470",71.05
RELIANCE,EQ,08-10-2024,2741.45,2745.95,2802,2730.2,2798.95,2794.7,2768.6,8510404,23561905588,358981,"52,45,628",61.64
RELIANCE,EQ,09-10-2024,2794.7,2795.05,2801.95,2745,2748,2749.2,2773.49,7155305,19845168138,358324,"46,24,596",64.63
RELIANCE,EQ,10-10-2024,2749.2,2760.05,2772,2738.85,2742.5,2742.1,2749.69,11179323,30739675825,364305,"80,88,422",72.35
RELIANCE,EQ,11-10-2024,2742.1,2740,2766.55,2737.65,2749,2744.2,2751.19,3990061,10977431924,197702,"18,59,446",46.60
RELIANCE,EQ,14-10-2024,2744.2,2758.9,2760.15,2736.5,2745.5,2745.05,2746.12,6110716,16780732590,233903,"41,47,617",67.87
RELIANCE,EQ,15-10-2024,2745.05,2717.05,2743.4,2681.4,2688.6,2688.05,2708.71,16881397,45726823453,602869,"1,11,51,853",66.06
RELIANCE,EQ,16-10-2024,2688.05,2680,2728,2675.25,2709.4,2708.15,2696.84,10017219,27014852678,356705,"62,61,479",62.51
RELIANCE,EQ,17-10-2024,2708.15,2731.4,2736.9,2704.1,2713.3,2712.85,2718.84,7771830,21130392927,383984,"49,06,216",63.13
RELIANCE,EQ,18-10-2024,2712.85,2704.35,2736.85,2682.65,2717,2718.6,2713.87,6041226,16395116699,295032,"31,08,315",51.45
RELIANCE,EQ,21-10-2024,2718.6,2734.25,2748,2715.45,2736,2738.4,2734.41,7033704,19233063988,228845,"47,05,858",66.90
RELIANCE,EQ,22-10-2024,2738.4,2738.4,2752,2680.45,2684.15,2686.7,2707.8,7915980,21434871570,363161,"51,47,016",65.02
RELIANCE,EQ,23-10-2024,2686.7,2675,2714.95,2670,2682.35,2677.05,2688.32,8607371,23139346660,337356,"54,62,528",63.46
RELIANCE,EQ,24-10-2024,2677.05,2670.55,2687.4,2646.25,2678.9,2679.6,2668.53,11077967,29561935443,345601,"72,70,549",65.63
